StatBezirkNr;Statistischer Bezirk;Alter bis 5;Alter 6 - 14;Alter 15 - 19;Alter 20 - 29;Alter 30 - 39;Alter 40 - 49;Alter 50 - 59;Alter 60 - 69;Alter 70 - 79;Alter 80 und älter;Staat Österreich;Staat Ausland;Geschlecht männlich;Geschlecht weiblich;Familienstand ledig;Familienstand verheiratet;Familienstand geschieden;Familienstand verwitwet;Partnerschaft eingetragen;Partnerschaft aufgelöst;Partnerschaft durch Tod aufgelöst
1;Altstadtviertel;133;138;81;600;525;438;310;243;153;132;2173;580;1361;1392;1612;795;226;117;3;0;0
2;Rathausviertel;230;316;230;1257;1113;873;778;627;463;449;5067;1269;3160;3176;3552;1773;589;415;5;2;0
3;Kaplanhofviertel;358;446;278;1041;1066;996;811;641;511;435;5612;971;3053;3530;3329;2091;683;476;4;0;0
4;Neustadtviertel;366;420;311;1353;1194;1044;840;482;315;330;4994;1661;3194;3461;3777;2002;564;308;4;0;0
5;Volksgartenviertel;349;380;232;1124;1012;900;708;519;435;488;4885;1262;2778;3369;3538;1787;452;370;0;0;0
6;Römerberg-Margarethen;123;151;121;340;332;397;333;239;218;161;2097;318;1155;1260;1203;925;134;149;4;0;0
7;Freinberg;26;32;20;36;48;72;60;76;50;150;534;36;216;354;235;160;50;123;2;0;0
8;Froschberg;377;536;328;984;910;1179;1145;798;750;557;6795;769;3558;4006;3331;3144;586;503;0;0;0
9;Keferfeld;315;468;303;738;779;1010;1006;1115;752;510;6271;725;3223;3773;2643;3117;647;585;4;0;0
10;Bindermichl;311;415;299;923;889;1050;954;1000;886;529;6565;691;3412;3844;2968;2810;830;645;3;0;0
11;Spallerhof;144;226;153;477;474;530;630;655;469;498;3981;275;1936;2320;1617;1647;471;517;4;0;0
12;Wankmüllerhofviertel;199;223;158;502;453;526;463;315;466;393;3153;545;1678;2020;1566;1394;375;360;3;0;0
13;Andreas-Hofer-Platz-Viertel;365;411;297;1174;1042;933;692;495;524;327;4712;1548;3023;3237;3234;2112;573;335;6;0;0
14;Makartviertel;475;560;348;1252;1100;997;731;531;420;456;4929;1941;3381;3489;3463;2363;581;458;4;0;1
15;Franckviertel;721;869;550;1674;1428;1465;1356;998;599;513;7538;2635;4984;5189;5115;3315;1114;624;5;0;0
16;Hafenviertel;48;69;52;182;160;208;228;158;91;84;1062;218;679;601;547;528;116;87;2;0;0
17;St.Peter;19;18;12;37;30;40;33;35;17;13;147;107;151;103;117;102;20;15;0;0;0
18;Neue Welt;176;215;154;436;377;440;387;310;229;147;2126;745;1426;1445;1256;1226;215;170;4;0;0
19;Scharlinz;203;299;198;426;406;569;498;458;372;269;3018;680;1832;1866;1532;1468;363;334;1;0;0
20;Bergern;255;370;243;617;584;748;644;443;304;150;3642;716;2065;2293;1983;1776;374;225;0;0;0
21;Neue Heimat;333;493;306;859;756;909;804;647;489;500;4955;1141;2937;3159;2639;2291;642;524;0;0;0
22;Wegscheid;282;383;245;604;602;713;667;462;263;99;3242;1078;2208;2112;2007;1783;360;167;3;0;0
23;Schörgenhub;890;1280;902;1913;1623;2281;1954;1334;590;257;10737;2287;6360;6664;6344;4814;1359;500;7;0;0
24;Kleinmünchen;434;590;362;1013;852;991;908;758;732;454;5305;1789;3461;3633;3029;2793;674;593;5;0;0
25;Ebelsberg;1339;2106;1257;2278;2743;3410;2185;1252;1127;518;15839;2376;8812;9403;8934;7060;1446;769;6;0;0
26;Alt-Urfahr;217;279;211;858;800;647;607;444;316;416;3785;1010;2310;2485;2555;1425;444;367;4;0;0
27;Heilham;169;223;172;490;481;575;457;460;481;331;3547;292;1729;2110;1643;1458;365;371;2;0;0
28;Hartmayrsiedlung;142;256;175;518;433;568;480;410;374;337;3285;408;1668;2025;1697;1163;439;392;1;1;0
29;Harbachsiedlung;183;279;192;551;436;596;608;447;393;278;3689;274;1804;2159;1782;1423;409;349;0;0;0
30;Karlhofsiedlung;110;177;124;379;352;406;374;324;268;166;2479;201;1262;1418;1235;976;268;199;2;0;0
31;Auberg;233;324;173;676;678;741;623;531;415;334;4147;581;2180;2548;2333;1745;371;279;0;0;0
32;Pöstlingberg;104;152;72;139;190;258;220;183;194;120;1524;108;777;855;688;746;83;115;0;0;0
33;Bachl-Gründberg;145;227;161;346;336;546;528;438;324;163;3013;201;1540;1674;1324;1422;248;217;3;0;0
34;St. Magdalena;379;539;349;799;986;1181;988;1083;666;297;6861;406;3374;3893;3237;3064;581;385;0;0;0
35;Katzbach;382;480;323;1338;1276;1174;1197;1423;1019;488;8299;801;4246;4854;3974;3735;774;617;0;0;0
36;Elmberg;52;75;55;139;142;184;201;115;106;45;1002;112;537;577;496;501;61;54;2;0;0
